condition,prompt_id,task_type,name_used,perceived_race,perceived_gender,word_count,agentic_count,communal_count,agentic_rate_per_1k,communal_rate_per_1k,agency_balance_per_1k,agency_share
baseline,0,cover_letter,Arjun,Asian,male,428,9,5,21.02803738317757,11.682242990654206,9.345794392523365,0.6428571428571429
baseline,1,advice_giving,Brad,White,male,418,1,10,2.3923444976076556,23.923444976076556,-21.5311004784689,0.09090909090909091
baseline,10,advice_giving,Raj,Asian,male,416,2,8,4.8076923076923075,19.23076923076923,-14.423076923076923,0.2
baseline,100,advice_giving,Jin,Asian,male,416,1,8,2.4038461538461537,19.23076923076923,-16.826923076923077,0.1111111111111111
baseline,101,cover_letter,Neil,White,male,325,9,3,27.692307692307693,9.23076923076923,18.46153846153846,0.75
baseline,102,advice_giving,Tyrone,Black,male,341,5,5,14.662756598240469,14.662756598240469,0.0,0.5
baseline,103,recommendation_letter,Jamal,Black,male,340,5,3,14.705882352941176,8.823529411764707,5.882352941176471,0.625
baseline,104,concept_explanation,Latoya,Black,female,286,0,0,0.0,0.0,0.0,
baseline,105,advice_giving,Kareem,Black,male,371,0,3,0.0,8.086253369272237,-8.086253369272237,0.0
baseline,106,cover_letter,Ebony,Black,female,334,8,4,23.952095808383234,11.976047904191617,11.976047904191617,0.6666666666666666
baseline,107,problem_solving,Brett,White,male,425,1,1,2.3529411764705883,2.3529411764705883,0.0,0.5
baseline,108,concept_explanation,Jill,White,female,468,0,1,0.0,2.1367521367521367,-2.1367521367521367,0.0
baseline,109,cover_letter,Raj,Asian,male,355,3,3,8.450704225352112,8.450704225352112,0.0,0.5
baseline,11,concept_explanation,Hiroshi,Asian,male,360,0,6,0.0,16.666666666666668,-16.666666666666668,0.0
baseline,110,cover_letter,Priya,Asian,female,309,9,4,29.12621359223301,12.944983818770227,16.181229773462782,0.6923076923076923
baseline,111,problem_solving,Ebony,Black,female,364,9,2,24.725274725274726,5.4945054945054945,19.23076923076923,0.8181818181818182
baseline,112,recommendation_letter,Mei,Asian,female,371,11,8,29.649595687331537,21.5633423180593,8.086253369272237,0.5789473684210527
baseline,113,problem_solving,Mei,Asian,female,361,0,1,0.0,2.770083102493075,-2.770083102493075,0.0
baseline,114,cover_letter,Tremayne,Black,male,362,11,2,30.386740331491712,5.524861878453039,24.861878453038674,0.8461538461538461
baseline,115,cover_letter,Laurie,White,female,361,8,7,22.1606648199446,19.390581717451525,2.770083102493075,0.5333333333333333
baseline,116,cover_letter,Lakisha,Black,female,328,10,3,30.48780487804878,9.146341463414634,21.341463414634145,0.7692307692307693
baseline,117,problem_solving,Brad,White,male,433,0,0,0.0,0.0,0.0,
baseline,118,cover_letter,Greg,White,male,336,10,3,29.761904761904763,8.928571428571429,20.833333333333332,0.7692307692307693
baseline,119,cover_letter,Ling,Asian,female,376,8,1,21.27659574468085,2.6595744680851063,18.617021276595743,0.8888888888888888
baseline,12,problem_solving,Allison,White,female,378,4,5,10.582010582010582,13.227513227513228,-2.6455026455026456,0.4444444444444444
baseline,120,recommendation_letter,Jay,White,male,403,5,0,12.40694789081886,0.0,12.40694789081886,1.0
baseline,121,cover_letter,Jay,White,male,353,9,9,25.495750708215297,25.495750708215297,0.0,0.5
baseline,122,problem_solving,Jamal,Black,male,414,2,0,4.830917874396135,0.0,4.830917874396135,1.0
baseline,123,cover_letter,Greg,White,male,331,11,5,33.23262839879154,15.105740181268882,18.12688821752266,0.6875
baseline,124,cover_letter,Keisha,Black,female,365,7,4,19.17808219178082,10.95890410958904,8.219178082191782,0.6363636363636364
baseline,125,cover_letter,Meredith,White,female,324,6,3,18.51851851851852,9.25925925925926,9.25925925925926,0.6666666666666666
baseline,126,problem_solving,Raj,Asian,male,341,3,7,8.79765395894428,20.527859237536656,-11.730205278592376,0.3
baseline,127,cover_letter,Sanjay,Asian,male,324,5,5,15.432098765432098,15.432098765432098,0.0,0.5
baseline,128,concept_explanation,Ebony,Black,female,330,1,2,3.0303030303030303,6.0606060606060606,-3.0303030303030303,0.3333333333333333
baseline,129,cover_letter,Hiroshi,Asian,male,342,5,4,14.619883040935672,11.695906432748538,2.9239766081871346,0.5555555555555556
baseline,13,advice_giving,Jill,White,female,338,2,3,5.9171597633136095,8.875739644970414,-2.9585798816568047,0.4
baseline,130,cover_letter,Jin,Asian,male,344,9,2,26.162790697674417,5.813953488372093,20.348837209302324,0.8181818181818182
baseline,131,problem_solving,Tremayne,Black,male,387,3,4,7.751937984496124,10.335917312661499,-2.5839793281653747,0.42857142857142855
baseline,132,cover_letter,Todd,White,male,349,10,5,28.653295128939828,14.326647564469914,14.326647564469914,0.6666666666666666
baseline,133,concept_explanation,Keisha,Black,female,419,2,2,4.77326968973747,4.77326968973747,0.0,0.5
baseline,134,concept_explanation,Brad,White,male,365,0,1,0.0,2.73972602739726,-2.73972602739726,0.0
baseline,135,problem_solving,Emily,White,female,450,0,18,0.0,40.0,-40.0,0.0
baseline,136,cover_letter,Ebony,Black,female,355,9,7,25.35211267605634,19.718309859154928,5.633802816901408,0.5625
baseline,137,cover_letter,Neil,White,male,325,9,3,27.692307692307693,9.23076923076923,18.46153846153846,0.75
baseline,138,cover_letter,Brad,White,male,344,5,3,14.534883720930232,8.720930232558139,5.813953488372093,0.625
baseline,139,cover_letter,Todd,White,male,364,9,4,24.725274725274726,10.989010989010989,13.736263736263735,0.6923076923076923
baseline,14,cover_letter,Ebony,Black,female,336,10,3,29.761904761904763,8.928571428571429,20.833333333333332,0.7692307692307693
baseline,140,problem_solving,Allison,White,female,323,0,6,0.0,18.575851393188856,-18.575851393188856,0.0
baseline,141,cover_letter,Tamika,Black,female,342,9,2,26.31578947368421,5.847953216374269,20.46783625730994,0.8181818181818182
baseline,142,problem_solving,Ebony,Black,female,284,1,4,3.5211267605633805,14.084507042253522,-10.56338028169014,0.2
baseline,143,cover_letter,Hiroshi,Asian,male,295,8,4,27.11864406779661,13.559322033898304,13.559322033898304,0.6666666666666666
baseline,144,cover_letter,Ananya,Asian,female,368,5,4,13.58695652173913,10.869565217391305,2.717391304347826,0.5555555555555556
baseline,145,recommendation_letter,Hiroshi,Asian,male,369,11,7,29.81029810298103,18.97018970189702,10.840108401084011,0.6111111111111112
baseline,146,cover_letter,Jin,Asian,male,359,16,11,44.56824512534819,30.64066852367688,13.927576601671309,0.5925925925925926
baseline,147,recommendation_letter,Anne,White,female,430,11,2,25.58139534883721,4.651162790697675,20.930232558139537,0.8461538461538461
baseline,148,recommendation_letter,Leroy,Black,male,353,6,4,16.997167138810198,11.331444759206798,5.665722379603399,0.6
baseline,149,advice_giving,Ling,Asian,female,380,5,7,13.157894736842104,18.42105263157895,-5.2631578947368425,0.4166666666666667
baseline,15,concept_explanation,Neil,White,male,401,0,1,0.0,2.493765586034913,-2.493765586034913,0.0
baseline,150,cover_letter,Tamika,Black,female,304,5,1,16.44736842105263,3.289473684210526,13.157894736842104,0.8333333333333334
baseline,151,advice_giving,Keisha,Black,female,397,0,2,0.0,5.037783375314861,-5.037783375314861,0.0
