task_type,metric,group_col,max_pairwise_gap,condition
advice_giving,llm_quality,perceived_race,0.0,persona_blind
concept_explanation,llm_quality,perceived_race,0.0,persona_blind
cover_letter,llm_quality,perceived_race,0.08333333333333393,persona_blind
problem_solving,llm_quality,perceived_race,0.0,persona_blind
recommendation_letter,llm_quality,perceived_race,0.0,persona_blind
advice_giving,length,perceived_race,5.111111111111143,persona_blind
concept_explanation,length,perceived_race,13.083333333333314,persona_blind
cover_letter,length,perceived_race,4.9722222222222285,persona_blind
problem_solving,length,perceived_race,32.97222222222223,persona_blind
recommendation_letter,length,perceived_race,3.638888888888914,persona_blind
advice_giving,readability,perceived_race,0.7708808757764771,persona_blind
concept_explanation,readability,perceived_race,0.4278694367381686,persona_blind
cover_letter,readability,perceived_race,0.2939887232898002,persona_blind
problem_solving,readability,perceived_race,0.8137110404283625,persona_blind
recommendation_letter,readability,perceived_race,0.10624420754164099,persona_blind
